date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU0001,168,242,14.0,132
2024-01-08,SKU0001,156,144,14.0,132
2024-01-15,SKU0001,201,256,14.0,132
2024-01-22,SKU0001,143,0,14.0,132
2024-01-29,SKU0001,157,107,14.0,132
2024-02-05,SKU0001,185,251,14.0,132
2024-02-12,SKU0001,184,205,14.0,132
2024-02-19,SKU0001,178,235,14.0,132
2024-02-26,SKU0001,125,102,14.0,132
2024-03-04,SKU0001,58,104,14.0,132
2024-03-11,SKU0001,52,134,14.0,132
2024-03-18,SKU0001,40,124,14.0,132
2024-03-25,SKU0001,66,151,14.0,132
2024-04-01,SKU0001,68,228,14.0,132
2024-04-08,SKU0001,91,148,14.0,132
2024-04-15,SKU0001,133,254,14.0,132
2024-04-22,SKU0001,135,158,14.0,132
2024-04-29,SKU0001,181,275,14.0,132
2024-05-06,SKU0001,185,185,14.0,132
2024-05-13,SKU0001,163,0,14.0,132
2024-05-20,SKU0001,147,104,14.0,132
2024-05-27,SKU0001,150,269,14.0,132
2024-06-03,SKU0001,157,254,14.0,132
2024-06-10,SKU0001,134,0,14.0,132
2024-06-17,SKU0001,137,176,14.0,132
2024-06-24,SKU0001,101,146,14.0,132
2024-07-01,SKU0001,162,270,14.0,132
2024-07-08,SKU0001,93,104,14.0,132
2024-07-15,SKU0001,113,153,14.0,132
2024-07-22,SKU0001,69,130,14.0,132
2024-07-29,SKU0001,124,286,14.0,132
2024-08-05,SKU0001,135,189,14.0,132
2024-08-12,SKU0001,173,221,14.0,132
2024-08-19,SKU0001,155,113,14.0,132
2024-08-26,SKU0001,164,233,14.0,132
2024-09-02,SKU0001,195,266,14.0,132
2024-09-09,SKU0001,136,0,14.0,132
2024-09-16,SKU0001,122,282,14.0,132
2024-09-23,SKU0001,98,125,14.0,132
2024-09-30,SKU0001,130,254,14.0,132
2024-10-07,SKU0001,172,208,14.0,132
2024-10-14,SKU0001,192,213,14.0,132
2024-10-21,SKU0001,194,243,14.0,132
2024-10-28,SKU0001,169,0,14.0,132
2024-11-04,SKU0001,155,161,14.0,132
2024-11-11,SKU0001,124,158,14.0,132
2024-11-18,SKU0001,101,205,14.0,132
2024-11-25,SKU0001,117,197,14.0,132
2024-12-02,SKU0001,105,205,14.0,132
2024-12-09,SKU0001,93,133,14.0,132
2024-12-16,SKU0001,110,168,14.0,132
2024-12-23,SKU0001,116,122,14.0,132
2024-12-30,SKU0001,83,190,14.0,132
2025-01-06,SKU0001,83,103,14.0,132
2025-01-13,SKU0001,87,291,14.0,132
2025-01-20,SKU0001,88,294,14.0,132
