sku_id,demand_over_horizon,avg_weekly_demand,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,list_price,category,lead_time_weeks,demand_over_lead_time,available_stock,stockout_risk,overstock_risk,risk_quadrant,recommended_action,shortage_units,excess_units,rupee_at_risk_stockout,rupee_locked_overstock,rupee_value_at_stake
SKU0057,1175.3107589240856,195.8851264873476,91.0,0.0,21.0,84.0,3754.2,7607.61,Decor,3.0,587.6553794620428,91.0,0.8451473377418852,0.0,Reorder Now,Raise a replenishment order before stock runs out.,496.6553794620428,0.0,3778360.4313492314,0.0,3778360.4313492314
SKU0113,977.0975107394518,162.84958512324195,101.0,0.0,30.0,68.0,2944.02,5746.94,Furniture,4.285714285714286,697.9267933853226,101.0,0.8552856818834891,0.0,Reorder Now,Raise a replenishment order before stock runs out.,596.9267933853226,0.0,3430502.4659778457,0.0,3430502.4659778457
SKU0020,1046.5229349974181,174.42048916623637,77.0,228.0,30.0,53.0,3565.77,6507.51,Small Appliances,4.285714285714286,747.516382141013,305.0,0.5919821862279078,0.0,Reorder Now,Raise a replenishment order before stock runs out.,442.51638214101297,0.0,2879679.7819464635,0.0,2879679.7819464635
SKU0054,904.2847745895468,150.7141290982578,62.0,104.0,21.0,95.0,3551.45,7361.97,Lighting,3.0,452.14238729477347,166.0,0.63285901816638,0.0,Reorder Now,Raise a replenishment order before stock runs out.,286.14238729477347,0.0,2106571.6709925034,0.0,2106571.6709925034
SKU0067,889.0604457445215,148.17674095742026,49.0,133.0,30.0,52.0,2195.72,4142.38,Decor,4.285714285714286,635.0431755318011,182.0,0.7134053131937232,0.0,Reorder Now,Raise a replenishment order before stock runs out.,453.0431755318011,0.0,1876676.9894594224,0.0,1876676.9894594224
SKU0098,779.9515094015912,129.99191823359854,57.0,148.0,30.0,40.0,2388.03,5198.32,Furniture,4.285714285714286,557.1082210011366,205.0,0.6320284062015632,0.0,Reorder Now,Raise a replenishment order before stock runs out.,352.1082210011366,0.0,1830371.2073946283,0.0,1830371.2073946283
SKU0058,954.5304395489954,159.08840659149925,115.0,0.0,21.0,84.0,2733.9,4709.91,Small Appliances,3.0,477.2652197744977,115.0,0.7590438288079401,0.0,Reorder Now,Raise a replenishment order before stock runs out.,362.2652197744977,0.0,1706236.5812681045,0.0,1706236.5812681045
SKU0097,832.697759839797,138.78295997329948,48.0,119.0,21.0,54.0,3314.16,6746.36,Decor,3.0,416.3488799198984,167.0,0.5988940812519318,0.0,Reorder Now,Raise a replenishment order before stock runs out.,249.34887991989842,0.0,1682197.3095364058,0.0,1682197.3095364058
SKU0196,1144.9084711829562,190.8180785304927,150.0,0.0,14.0,120.0,3566.72,6780.51,Furniture,2.0,381.6361570609854,150.0,0.6069554804367501,0.0,Reorder Now,Raise a replenishment order before stock runs out.,231.6361570609854,0.0,1570611.2793135822,0.0,1570611.2793135822
SKU0142,562.6557013041095,93.77595021735158,89.0,0.0,30.0,71.0,3386.73,5013.32,Decor,4.285714285714286,401.89692950293534,89.0,0.7785501867106204,0.0,Reorder Now,Raise a replenishment order before stock runs out.,312.89692950293534,0.0,1568652.4346156558,0.0,1568652.4346156558
SKU0073,1441.3572128676174,240.2262021446029,65.0,159.0,21.0,94.0,1765.46,2865.27,Small Appliances,3.0,720.6786064338087,224.0,0.6891818377842003,0.0,Reorder Now,Raise a replenishment order before stock runs out.,496.6786064338087,0.0,1423118.310656599,0.0,1423118.310656599
SKU0096,751.1108499877416,125.1851416646236,69.0,0.0,14.0,60.0,3487.44,7514.15,Furniture,2.0,250.3702833292472,69.0,0.7244081882143251,0.0,Reorder Now,Raise a replenishment order before stock runs out.,181.3702833292472,0.0,1362843.5144784627,0.0,1362843.5144784627
SKU0144,883.6531873489556,147.27553122482593,31.0,0.0,14.0,26.0,2399.17,4949.82,Textiles,2.0,294.55106244965185,31.0,0.8947550901966314,0.0,Reorder Now,Raise a replenishment order before stock runs out.,263.55106244965185,0.0,1304530.3199345355,0.0,1304530.3199345355
SKU0036,899.642872922678,149.94047882044632,54.0,181.0,30.0,83.0,1565.97,3083.51,Decor,4.285714285714286,642.602052087627,235.0,0.6342993315434438,0.0,Reorder Now,Raise a replenishment order before stock runs out.,407.60205208762704,0.0,1256845.003632719,0.0,1256845.003632719
SKU0197,721.4195711309249,120.23659518848747,38.0,128.0,21.0,35.0,2930.73,6360.06,Textiles,3.0,360.7097855654624,166.0,0.5397962388523171,0.0,Reorder Now,Raise a replenishment order before stock runs out.,194.70978556546243,0.0,1238365.918783475,0.0,1238365.918783475
SKU0070,1003.2226808410359,167.20378014017265,66.0,129.0,21.0,116.0,1799.01,3633.37,Furniture,3.0,501.611340420518,195.0,0.6112528081272548,0.0,Reorder Now,Raise a replenishment order before stock runs out.,306.611340420518,0.0,1114032.4459436974,0.0,1114032.4459436974
