sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Decor,Wall Art,2024-01-01,3151.81,6105.58
SKU0002,Decor,Candles,2024-01-01,3484.78,6763.97
SKU0003,Textiles,Throws,2024-01-01,2929.7,6576.29
SKU0004,Furniture,Shelving,2024-01-01,1321.33,2473.9
SKU0005,Decor,Wall Art,2024-01-01,1689.46,2436.2
SKU0006,Lighting,String Lights,2024-01-01,3172.93,5012.3
SKU0007,Small Appliances,Lamps,2024-01-01,3460.77,6964.03
SKU0008,Decor,Vases,2025-03-26,3867.68,8228.71
SKU0009,Decor,Wall Art,2024-01-01,1077.95,2172.0
SKU0010,Small Appliances,Lamps,2024-01-01,3650.88,5961.53
SKU0011,Small Appliances,Blenders,2024-01-01,950.58,1816.49
SKU0012,Furniture,Tables,2024-03-01,3767.07,8307.69
SKU0013,Small Appliances,Lamps,2024-01-01,2346.21,4384.48
SKU0014,Lighting,Table Lamps,2024-01-01,1194.69,2563.64
SKU0015,Decor,Mirrors,2024-01-01,1212.6,2020.98
SKU0016,Furniture,Chairs,2025-08-23,3123.14,4930.95
SKU0017,Furniture,Sofas,2024-01-01,2888.67,6098.44
SKU0018,Small Appliances,Blenders,2024-01-01,596.1,1297.59
SKU0019,Small Appliances,Blenders,2024-01-01,1577.65,3158.39
SKU0020,Small Appliances,Lamps,2024-01-01,3565.77,6507.51
SKU0021,Furniture,Tables,2024-05-30,2928.66,4722.13
SKU0022,Decor,Candles,2024-01-01,1796.03,2555.53
SKU0023,Furniture,Sofas,2024-10-27,1980.18,3776.1
SKU0024,Small Appliances,Kettles,2024-01-01,1729.97,3598.33
SKU0025,Furniture,Shelving,2024-01-01,2824.92,6193.41
SKU0026,Small Appliances,Blenders,2024-01-01,3505.12,7442.44
SKU0027,Furniture,Tables,2024-10-27,1398.73,2111.91
SKU0028,Decor,Vases,2024-01-01,1027.55,1833.56
SKU0029,Textiles,Cushions,2024-01-01,783.93,1474.32
SKU0030,Decor,Wall Art,2024-01-01,1449.82,3260.09
SKU0031,Decor,Mirrors,2024-01-01,1704.77,2486.24
SKU0032,Decor,Mirrors,2024-01-01,2064.41,3449.2
SKU0033,Decor,Wall Art,2024-01-01,3909.97,6920.39
SKU0034,Furniture,Shelving,2024-10-27,1072.31,1641.07
SKU0035,Decor,Mirrors,2024-01-01,2431.88,3581.6
SKU0036,Decor,Wall Art,2024-03-01,1565.97,3083.51
SKU0037,Small Appliances,Fans,2024-05-30,3223.63,4950.35
SKU0038,Small Appliances,Lamps,2024-01-01,2424.94,4873.66
SKU0039,Furniture,Sofas,2024-05-30,1492.36,2218.48
SKU0040,Lighting,String Lights,2025-03-26,679.46,1159.81
SKU0041,Furniture,Sofas,2024-01-01,2828.77,4542.14
SKU0042,Furniture,Shelving,2024-01-01,2189.15,3541.32
SKU0043,Furniture,Shelving,2024-01-01,3548.15,5570.02
SKU0044,Decor,Candles,2024-03-01,3603.87,7922.67
SKU0045,Textiles,Curtains,2024-10-27,3752.19,7905.14
SKU0046,Small Appliances,Blenders,2024-01-01,540.67,1079.8
SKU0047,Furniture,Shelving,2024-01-01,2019.61,3642.53
SKU0048,Lighting,Table Lamps,2024-01-01,2051.49,3202.25
SKU0049,Decor,Mirrors,2024-05-30,2681.81,5126.22
SKU0050,Furniture,Sofas,2024-01-01,1114.28,2151.55
SKU0051,Lighting,String Lights,2024-10-27,2579.88,5457.3
SKU0052,Small Appliances,Lamps,2024-01-01,3477.05,5588.2
SKU0053,Decor,Mirrors,2024-01-01,2635.07,4109.13
SKU0054,Lighting,Table Lamps,2024-01-01,3551.45,7361.97
SKU0055,Lighting,Table Lamps,2024-01-01,3871.62,8777.96
SKU0056,Lighting,String Lights,2024-01-01,885.01,1452.86
SKU0057,Decor,Vases,2024-01-01,3754.2,7607.61
SKU0058,Small Appliances,Lamps,2024-01-01,2733.9,4709.91
SKU0059,Decor,Vases,2024-10-27,3001.96,6085.92
SKU0060,Textiles,Curtains,2024-01-01,1291.56,2296.14
SKU0061,Decor,Mirrors,2025-03-26,2118.67,3922.43
SKU0062,Textiles,Cushions,2024-01-01,1677.62,2425.32
SKU0063,Lighting,String Lights,2024-01-01,511.83,982.95
SKU0064,Furniture,Chairs,2024-01-01,3930.09,8469.5
SKU0065,Lighting,Table Lamps,2024-01-01,3317.01,5719.09
SKU0066,Furniture,Chairs,2024-05-30,1195.44,2712.13
SKU0067,Decor,Vases,2024-01-01,2195.72,4142.38
SKU0068,Small Appliances,Lamps,2024-01-01,3882.72,7932.92
SKU0069,Furniture,Shelving,2024-01-01,1840.04,2705.98
SKU0070,Furniture,Chairs,2024-01-01,1799.01,3633.37
SKU0071,Furniture,Tables,2024-01-01,1113.44,2109.19
SKU0072,Textiles,Curtains,2025-03-26,2607.34,4862.76
SKU0073,Small Appliances,Kettles,2024-01-01,1765.46,2865.27
SKU0074,Decor,Wall Art,2024-01-01,1466.24,2173.88
SKU0075,Furniture,Tables,2024-10-27,2859.08,5222.84
SKU0076,Furniture,Shelving,2024-05-30,1483.27,2696.89
SKU0077,Small Appliances,Blenders,2024-01-01,2595.11,3738.97
SKU0078,Decor,Vases,2025-03-26,2079.0,3919.83
SKU0079,Small Appliances,Lamps,2024-01-01,2623.31,3735.23
SKU0080,Small Appliances,Fans,2024-05-30,2757.1,5282.69
SKU0081,Furniture,Chairs,2024-01-01,3774.64,6596.15
SKU0082,Lighting,Floor Lamps,2024-01-01,1204.75,1919.32
SKU0083,Decor,Wall Art,2024-01-01,2779.58,4069.5
SKU0084,Decor,Vases,2024-01-01,1461.4,2388.84
SKU0085,Decor,Vases,2024-01-01,2571.43,5630.72
SKU0086,Textiles,Cushions,2025-08-23,2259.69,4024.79
SKU0087,Small Appliances,Fans,2025-08-23,1738.58,3016.12
SKU0088,Textiles,Curtains,2024-10-27,2313.19,3735.19
SKU0089,Small Appliances,Fans,2024-03-01,547.03,1210.19
SKU0090,Small Appliances,Lamps,2024-01-01,1295.9,1930.87
SKU0091,Furniture,Chairs,2024-10-27,501.45,846.14
SKU0092,Lighting,String Lights,2024-01-01,470.64,697.74
SKU0093,Small Appliances,Lamps,2024-01-01,3046.64,6435.79
SKU0094,Textiles,Cushions,2025-03-26,3900.86,8957.69
SKU0095,Furniture,Sofas,2024-10-27,1501.02,2259.58
SKU0096,Furniture,Tables,2024-05-30,3487.44,7514.15
SKU0097,Decor,Mirrors,2024-01-01,3314.16,6746.36
SKU0098,Furniture,Chairs,2024-01-01,2388.03,5198.32
SKU0099,Lighting,Table Lamps,2025-03-26,3946.1,8200.16
SKU0100,Decor,Candles,2024-01-01,1605.25,3266.0
SKU0101,Furniture,Sofas,2024-01-01,2046.61,2886.17
SKU0102,Decor,Vases,2024-03-01,3103.7,6643.5
SKU0103,Textiles,Rugs,2024-01-01,3854.36,6696.5
SKU0104,Decor,Mirrors,2024-01-01,1829.89,3882.84
SKU0105,Lighting,Table Lamps,2024-01-01,3580.9,6713.94
SKU0106,Lighting,Table Lamps,2024-01-01,2827.33,4150.21
SKU0107,Furniture,Chairs,2024-01-01,1899.98,3733.09
SKU0108,Small Appliances,Lamps,2024-03-01,3673.73,8313.03
SKU0109,Furniture,Tables,2024-01-01,2537.51,4185.99
SKU0110,Furniture,Tables,2024-01-01,1033.17,1693.72
SKU0111,Decor,Mirrors,2025-08-23,2837.92,5342.35
SKU0112,Decor,Mirrors,2024-01-01,1193.19,1813.49
SKU0113,Furniture,Tables,2025-03-26,2944.02,5746.94
SKU0114,Decor,Mirrors,2024-10-27,2273.61,3520.35
SKU0115,Decor,Vases,2024-05-30,3951.01,6066.28
SKU0116,Small Appliances,Fans,2024-01-01,3342.28,6391.02
SKU0117,Furniture,Chairs,2024-01-01,1202.62,1744.69
SKU0118,Lighting,Table Lamps,2024-01-01,3037.16,6748.11
SKU0119,Small Appliances,Kettles,2025-03-26,3421.14,5551.19
SKU0120,Decor,Vases,2024-01-01,1207.72,1916.05
